Branch Code,Branch Name,IFSC Code,Address,State
Br Code,Br. Name,IFSC Code,Branch Addres,State
0173,Tohana,YESB0000173,"Ground Floor,Opposite Mc Office,Chd Road Tohana -125120",Haryana
0174,Samalkha,YESB0000174,"81-82, Ground Floor, New Anaj Mandi Samalkha-132101",Haryana
0175,Dayalbagh,YESB0000175,48 A Heera Bagh Colony Dayalbagh Road Agra-282005,Uttar Pradesh
0176,Sachin,YESB0000176,"Show Room No. 11, 12 & 13 On Ground Floor, Sidhi Vinayak Residency, Block No. 171, S.No.480 At Mouje Sachin, Surat, Gujarat- 394 230",Gujarat
0177,Bhiwandi,YESB0000177,"Shop No 6, Dhamankar Plaza,Dhamankar Naka,,Telipada, Bhiwandi, 421302",Maharashtra
0178,Jorhat,YESB0000178,"Ground Floor, R K Mahabir Prasad,Bldg, Holding No.6 Of 65,,Ward No 6, A. T. Road 785001",Assam
0179,Asansol,YESB0000179,"85 Gt Road,,Ground Floor, Laxmi Narayan Complex,Murgasol,Asansol 713303",West Bengal
0180,Adityapur,YESB0000180,"Ground Floor, Pm Comlex Main Road Adityapur 831013",Jharkhand
0181,Saharanpur,YESB0000181,"2B/28, Ground Floor, Banka Complex, Mission Compound, Saharanpur, 247001",Uttar Pradesh
0182,Modinagar,YESB0000182,"Ground Floor, Jindal Bhawan Opp Amber Cinema Modinagar, 201204",Uttar Pradesh
0183,Hyderabad 2 (Hi Tech City),YESB0000183,"Ground Floor, Sun Towers, Sector-1, Huda Techno Enclave Of Madhapur Village, R.R District. Andhra Pradesh- 500081",Telangana
0184,Pitampura,YESB0000184,"Ground Floor , Anchor 1, ‘D Mall’, Plot No-A-1,Netaji Subhash Place, Pitampura, New Delhi 110063",Delhi
0185,Meera Bagh,YESB0000185,"Yes Bank Ltd - B 379, Ground Floor, Meera Bagh, Outer Ring Road, New Delhi -110063",Delhi
